343;N;C;UL ;VALU  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
343;N;A;UL ;BDAD  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
343;N;A;UL ;BULD  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
343;N;A;UL ;CNAD  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
343;N;A;UL ;CONT  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
343;N;A;UL ;PEBE  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
343;N;A;UL ;BELO  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
343;N;A;UL ;PECY  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
343;N;A;UL ;SPVL  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
343;N;A;UL ;VALU  ;0001-01-01;2015-12-31;N;47.00;TABLE01                                            
344;N;B;25K;BULD  ;0001-01-01;2015-12-31;N;31.00;TABLE01                                            
344;N;B;25K;BDAD  ;0001-01-01;2015-12-31;N;31.00;TABLE01                                            
344;N;C;25K;CONT  ;0001-01-01;2015-12-31;N;31.00;TABLE01                                            
344;N;C;25K;CNAD  ;0001-01-01;2015-12-31;N;31.00;TABLE01                                            
344;N;C;25K;PEBE  ;0001-01-01;2015-12-31;N;31.00;TABLE01                                            
344;N;C;25K;BELO  ;0001-01-01;2015-12-31;N;31.00;TABLE01                                            
344;N;C;25K;PECY  ;0001-01-01;2015-12-31;N;31.00;TABLE01                                            
344;N;C;25K;SPVL  ;0001-01-01;2015-12-31;N;31.00;TABLE01                                            
344;N;C;25K;VALU  ;0001-01-01;2015-12-31;N;31.00;TABLE01                                            
344;N;A;25K;BDAD  ;0001-01-01;2015-12-31;N;31.00;TABLE01                                            
344;N;A;25K;BULD  ;0001-01-01;2015-12-31;N;31.00;TABLE01                                            
